numero_facture;categorie;nb_envois;envoi_num;send_date;send_by;success;fne_invoice_id;fne_reference;fne_ncc;is_manual;error_message
8000063368;MIXED;2;2;2026-03-18 08:23:48;blandine.toure;OK;9b4231a4-5000-4338-8fb2-968382ad71af;9904279V26000003453;9904279V;non;
8000063688;MIXED;2;1;2026-04-03 08:38:24;angele.obicoa;OK;;;;non;
8000063688;MIXED;2;2;2026-04-22 15:46:02;angele.obicoa;OK;c7d614da-f18c-43eb-a616-06a48dfb4a82;9904279V26000004918;9904279V;non;
8000063702;MIXED;2;1;2026-04-03 10:03:28;angele.obicoa;OK;;;;non;
8000063702;MIXED;2;2;2026-04-22 15:47:51;angele.obicoa;OK;616a1565-772c-4575-a78f-9bbf549260f0;9904279V26000004920;9904279V;non;
8000064041;MIXED;2;1;2026-04-16 10:58:41;angele.obicoa;OK;;;;non;
8000064041;MIXED;2;2;2026-04-16 11:07:22;angele.obicoa;OK;41fbc144-3ca7-4ab6-91b9-b5128cb734b5;9904279V26000004558;9904279V;non;
8000064145;MIXED;2;1;2026-04-20 11:36:47;angele.obicoa;OK;;;;non;
8000064145;MIXED;2;2;2026-04-22 15:47:10;angele.obicoa;OK;9d28e125-7515-45bf-a522-7632865653f0;9904279V26000004919;9904279V;non;
8000064166;MIXED;2;1;2026-04-20 15:21:59;blandine.toure;OK;;;;non;
8000064166;MIXED;2;2;2026-04-20 15:25:44;blandine.toure;OK;965693e8-1fcd-4048-a8cc-223f57da5532;9904279V26000004776;9904279V;non;
8000064171;MIXED;2;1;2026-04-20 15:32:46;blandine.toure;OK;;;;non;
8000064171;MIXED;2;2;2026-04-20 15:33:30;blandine.toure;OK;ca708214-df06-4110-bd08-16db529da01a;9904279V26000004781;9904279V;non;
G0225M;MIXED;2;1;2026-03-18 13:40:24;blandine.toure;OK;;;;non;
G0225M;MIXED;2;2;2026-03-23 11:57:42;angele.obicoa;OK;97bdd39c-8c94-42fc-9d24-6af6b9ca5572;9904279V26000003656;9904279V;non;
G0226M;MIXED;2;1;2026-03-18 13:41:13;blandine.toure;OK;;;;non;
G0226M;MIXED;2;2;2026-03-19 12:49:56;blandine.toure;OK;e15c0658-74a8-465b-bd65-234553ed0aea;9904279V26000003622;9904279V;non;
G0243M;MIXED;2;1;2026-04-13 15:47:32;blandine.toure;OK;;;;non;
G0243M;MIXED;2;2;2026-04-13 15:48:06;blandine.toure;OK;ba03541a-eda7-486e-af0a-edafad9a6a7e;9904279V26000004366;9904279V;non;
P0037E;MIXED;2;1;2026-04-13 17:16:45;blandine.toure;OK;;;;non;
P0037E;MIXED;2;2;2026-04-13 17:17:13;blandine.toure;OK;9b6bac28-b7e9-4106-b509-cab7316a14fc;9904279V26000004451;9904279V;non;
